url,googleSearchVolume,totalSearchVolume,session
eyescream/clothing/dresses,0,0,4
baby-bright/makeup/lips/lipsticks/matte,0,0,1
faber/appliances/cooktops/electric-stoves,0,30,28
dabuwawa/clothing/dresses,0,0,8
flora/clothing/underwear/bras,0,0,1
baume-mercier/clifton/watches,0,0,4
hoco/audio-hi-fi/headphones/in-ear/wireless,0,0,81
elba/appliances/cookers/slow,0,0,39
fossil/phones-tablets/women/smartwatches,210,210,7
bella-ammara/clothing/muslim,0,0,5
new-balance/shoes/sports/football-futsal,0,0,21
victorias-secret/bath-body/lotions,170,170,413
parnis/watches,170,170,105
pennzoil/car-accessories/lubricants,0,0,68
uniqlo/men,210,210,22
armani/makeup,50,920,198
burberry/bags/men/waist,0,0,7
puma/shoes/sneakers,1300,1320,56
butik-sireh-pinang/clothing/women/dresses/modern-ethnic,0,0,0
holika-holika/makeup/lips,0,0,5
burberry/bags/purses,170,170,10
acer/switch,210,210,64
cool-elves/clothing/traditional/baju-kurung,0,0,34
gucci/shoes/flip-flops,320,320,193
ice-watch/watches/women/analogue,0,0,1
clio/makeup/eyes/eyeshadows,0,0,1
vincci/shoes/wedges,0,0,50
elmark/bathroom/water-heaters,0,0,91
davidoff/groceries,0,1300,16
jamu-susuk-dara/hobbies,0,0,3
victorinox/watches,1000,1020,544
comme-des-garcons/bags/wallets,30,30,2
casio/g-shock/watches/straps/stainless-steel,0,0,45
kamdar/kids-clothing,0,0,10
kent-curwen/clothing/cardigans,0,0,0
cosas-united/bags/travel,0,0,4
kixx/car-accessories/lubricants,0,0,34
marie-claire/bags,480,760,201
kenzo/clothing/women/sweatshirts,10,10,0
mando/car-accessories/engine-parts,0,0,41
makita/outdoor-garden/power-tools/grass-cutters,20,20,45
kogado/perfume/eau-de-cologne,0,0,1
elba/kitchen-dining/cookware/pots,0,0,6
nike/zoom/shoes/sports/running,70,70,92
pensonic/appliances/cookers/multi,0,10,59
nuk/feeding/bottle/sterilizers,0,0,14
lc-waikiki/clothing/women,0,0,0
enfagrow/feeding,0,10,0
ralph-lauren/clothing/polo-shirts,880,880,27
hush-puppies/bags/sling,140,140,45
pasabahce/kitchen-dining/tableware/drinkware/cups-mugs,0,0,8
lenovo/gaming,0,0,2
fendi/clothing/underwear/socks,30,30,5
gucci/ace,320,580,41
shein/clothing/women/underwear,0,0,11
longchamp/bags/women/sling/shoulder,0,0,9
fluance/audio-hi-fi/speakers,10,10,9
haier/appliances/laundry-machines/drying,50,100,49
skechers/shoes/men,480,620,20
certina/watches,720,750,310
lubna/baju-raya/women/baju-kurung-tradisional,0,0,0
yamaha/audio-hi-fi/home-theater,110,120,143
gym/women/equipments/yoga-balls,0,0,2
artline/stationery/writing-utensils/markers/permanent,110,110,40
chanel/bags/handbags/tote,590,660,36
hard-rock-cafe/clothing,10,270,271
mango/makeup/accessories/bags,0,0,2
skechers/women,1600,1600,118
garnier/skin-care/face/masks,110,110,53
fcuk/gadgets/vapes/juices,0,0,27
marc-by-marc-jacobs/perfume,10,10,3
hesstar/appliances/cooker-hoods,0,0,5
reeses/groceries,0,0,36
fendi/clothing/men/t-shirts,90,90,35
mary-kay/men,390,390,4
hijabera/clothing/traditional/baju-kurung,0,0,9
gap/clothing/hoodies-and-sweatshirts,0,0,38
goq/camera-photo/car,10,10,87
mc/bags/women/sling,0,0,1
idrop/kitchen-dining/storage/lunch-boxes,0,0,7
zebra/computing/office-supplies/scanners,70,140,35
philips-avent/feeding/accessories/food-blenders,0,20,65
rubine/bathroom/water-heaters,880,880,449
mike/watches/couple,0,0,5
ilife/hair-care/shampoos,0,0,5
yonex/shoes/sports,30,1020,56
ivanka-trump/bags,0,0,5
burts-bees/makeup/lips/lipbalm,0,0,13
gucci/horsebit/bags,90,90,43
mitco/bathroom,0,0,10
monzo/home-office,0,0,0
jack-black/bath-body/oils/beard,0,0,3
tanker/shoes/safety,140,140,41
pokemon/toys,390,500,74
obsidian/hair-care/shampoos,0,0,11
naning9/clothing/women/dresses,0,0,5
jamu-ratu-malaya/groceries,0,0,3
elianto/makeup,1300,1720,50
elba/appliances/microwaves,170,180,74
omega/watches/men,170,170,90
nexxen/hair-care/conditioners,0,0,3
jean-paul-gaultier/perfume/women,10,10,5
in2it/makeup/lips/lipsticks,720,720,35
oxford-fajar/hobbies/books,10,10,5
gucci/bags/men/sling,1000,1090,225
niceeshop/clothing/hats/caps,0,0,2
kaka/shoes/men,0,0,6
princess/clothing/muslimah,0,40,6
hp/computing/accessories/chargers,210,210,218
okuma/adventure,0,110,2
kinyued/watches/analogue,0,0,6
suzuki/car-accessories/lubricants,0,0,87
oris/watches/luxury,0,0,13
lego/kitchen-dining/storage/lunch-bags,20,20,3
timberland/shoes/sneakers,170,180,20
converse/one-star,1900,1930,131
loreal/makeup/face/powders/loose,0,0,1
miu-miu/perfume,210,220,54
toyota/corolla,8100,8100,25
omron/medical-supplies/thermometers,0,0,43
cartier/watches/women,390,390,46
wo-man-wei-si/bags/schools,0,0,4
pepe-jeans/clothing/men/shorts/bermudas,0,0,0
moms-care/baby-clothing,0,0,3
armani/emporio/watches/analogue,0,0,11
poney/kids-clothing/tops,0,0,0
morgan/appliances/juicers,0,10,9
spy/camera-photo,0,10,54
sumo/car-accessories/lubricants,0,0,258
primark/bath-body,0,0,1
mujosh/clothing/sunglasses,10,10,1
wetty/diapering/accessories/wipes,0,0,27
tsc/computing/office-supplies/label-printers,40,40,68
elf-cosmetics/car-accessories/lubricants,0,0,7
razer/computing/laptops,1300,3710,312
rimmel-london/makeup/lips/lipsticks/matte,10,10,1
nivea/bath-body/lotions/sun-protection,0,0,1
clarks/un/shoes,0,0,66
amway/skin-care,140,180,59
fuji-xerox/computing/printers/laser,90,90,44
sharp/tv-video-dvd/accessories/remotes,170,170,174
sally-hansen/bath-body,0,0,10
olay/skin-care/face/day-creams,0,0,2
guess/watches/digital,10,10,9
shea-moisture/skin-care/face,0,0,2
hp/compaq,210,500,29
hla/clothing/t-shirts,40,40,30
levis/clothing/jackets,590,1110,195
silicon/car-accessories/wipers,140,140,3
oscar-de-la-renta/bags/women/handbags,0,0,1
goq/camera-photo,0,20,39
